seq.pos	node.id	node.offset	coverage
99168	7360	52	2
99169	7360	53	2
99170	7360	54	2
99171	7360	55	2
99172	7360	56	2
99173	7360	57	2
99174	7360	58	2
99175	7360	59	3
99176	7360	60	3
99177	7360	61	2
99178	7360	62	3
99179	7360	63	3
99180	7360	64	4
99181	7360	65	4
99182	7360	66	4
99183	7360	67	5
99184	7360	68	5
99185	7360	69	5
99186	7360	70	5
99187	7360	71	5
99188	7360	72	5
99189	7360	73	5
99190	7360	74	4
99191	7360	75	4
99192	7360	76	4
99193	7360	77	4
99194	7361	0	5
99195	7362	0	0
99196	7363	0	5
99197	7363	1	5
99198	7363	2	5
99199	7363	3	6
99200	7363	4	6
99201	7363	5	6
99202	7363	6	6
99203	7363	7	6
99204	7363	8	7
99205	7363	9	7
99206	7363	10	7
99207	7363	11	7
99208	7363	12	7
99209	7363	13	7
99210	7363	14	7
99211	7363	15	7
99212	7363	16	7
99213	7363	17	7
99214	7363	18	7
99215	7363	19	9
99216	7363	20	9
99217	7363	21	9
99218	7363	22	8
99219	7363	23	8
99220	7363	24	9
99221	7363	25	8
99222	7363	26	8
99223	7363	27	8
99224	7363	28	8
99225	7363	29	8
99226	7363	30	7
99227	7363	31	7
99228	7364	0	0
99229	7364	1	0
99230	7364	2	0
99231	7364	3	0
99232	7365	0	8
99233	7365	1	8
99234	7365	2	8
99235	7365	3	7
99236	7366	0	8
99237	7366	1	8
99238	7366	2	8
99239	7366	3	8
99240	7366	4	8
99241	7366	5	8
99242	7367	0	0
99243	7368	0	8
99244	7368	1	8
99245	7368	2	8
99246	7368	3	8
99247	7368	4	8
99248	7368	5	8
99249	7368	6	8
99250	7368	7	8
99251	7368	8	9
99252	7368	9	8
99253	7368	10	9
99254	7368	11	9
99255	7368	12	9
99256	7368	13	9
99257	7368	14	9
99258	7368	15	9
99259	7368	16	11
99260	7368	17	11
99261	7368	18	9
99262	7368	19	9
99263	7368	20	9
99264	7368	21	9
99265	7368	22	10
99266	7368	23	9
99267	7368	24	9
99268	7368	25	9
99269	7368	26	9
99270	7368	27	8
99271	7368	28	9
99272	7368	29	9
99273	7368	30	9
99274	7368	31	9
99275	7368	32	8
99276	7368	33	8
99277	7368	34	7
99278	7368	35	8
99279	7368	36	7
99280	7368	37	7
99281	7368	38	7
99282	7368	39	6
99283	7368	40	6
99284	7368	41	34
99285	7368	42	7
99286	7368	43	8
99287	7368	44	8
99288	7368	45	8
99289	7368	46	8
99290	7368	47	8
99291	7368	48	8
99292	7368	49	7
99293	7368	50	6
99294	7368	51	6
99295	7368	52	7
99296	7368	53	8
99297	7368	54	8
99298	7368	55	8
99299	7368	56	35
99300	7368	57	8
99301	7368	58	6
99302	7368	59	6
99303	7368	60	6
99304	7368	61	5
99305	7368	62	5
99306	7368	63	5
99307	7368	64	4
99308	7368	65	4
99309	7368	66	4
99310	7368	67	4
99311	7368	68	31
99312	7368	69	4
99313	7368	70	4
99314	7368	71	5
99315	7368	72	33
99316	7368	73	6
99317	7368	74	6
99318	7368	75	6
99319	7368	76	6
99320	7368	77	6
99321	7368	78	6
99322	7368	79	5
99323	7368	80	5
99324	7368	81	5
99325	7368	82	5
99326	7368	83	31
99327	7368	84	4
99328	7368	85	4
99329	7368	86	4
99330	7368	87	4
99331	7368	88	4
99332	7368	89	4
99333	7368	90	4
99334	7368	91	7
99335	7368	92	7
99336	7368	93	8
99337	7368	94	7
99338	7368	95	6
99339	7368	96	6
99340	7368	97	6
99341	7368	98	6
99342	7368	99	6
99343	7368	100	7
99344	7368	101	6
99345	7368	102	34
99346	7368	103	8
99347	7368	104	8
99348	7368	105	8
99349	7368	106	8
99350	7368	107	8
99351	7368	108	8
99352	7368	109	8
99353	7368	110	8
99354	7368	111	9
99355	7368	112	9
99356	7368	113	8
99357	7368	114	7
99358	7368	115	8
99359	7368	116	8
99360	7368	117	8
99361	7368	118	8
99362	7368	119	8
99363	7368	120	8
99364	7368	121	8
99365	7368	122	8
99366	7368	123	8
99367	7368	124	8
99368	7368	125	8
99369	7368	126	8
99370	7368	127	7
99371	7368	128	7
99372	7368	129	7
99373	7368	130	7
99374	7368	131	7
99375	7368	132	8
99376	7368	133	6
99377	7368	134	5
99378	7368	135	5
99379	7369	0	5
99380	7370	0	0
99381	7371	0	5
99382	7371	1	5
99383	7371	2	5
99384	7371	3	5
99385	7371	4	5
99386	7371	5	4
99387	7371	6	4
99388	7371	7	5
99389	7371	8	4
99390	7371	9	4
99391	7371	10	5
99392	7371	11	7
99393	7371	12	7
99394	7371	13	7
99395	7371	14	8
99396	7371	15	8
99397	7371	16	6
99398	7371	17	7
99399	7371	18	8
99400	7371	19	8
99401	7371	20	7
99402	7371	21	7
99403	7371	22	8
99404	7371	23	8
99405	7371	24	8
99406	7371	25	8
99407	7371	26	8
99408	7371	27	7
99409	7371	28	8
99410	7371	29	8
99411	7371	30	7
99412	7371	31	8
99413	7371	32	8
99414	7371	33	9
99415	7371	34	9
99416	7371	35	9
99417	7371	36	9
99418	7371	37	8
99419	7371	38	8
99420	7371	39	8
99421	7371	40	9
99422	7371	41	9
99423	7371	42	9
99424	7371	43	9
99425	7372	0	9
99426	7373	0	0
99427	7374	0	9
99428	7374	1	9
99429	7374	2	9
99430	7374	3	9
99431	7374	4	7
99432	7374	5	7
99433	7374	6	5
99434	7374	7	5
99435	7374	8	5
99436	7374	9	5
99437	7374	10	4
99438	7374	11	4
99439	7374	12	4
99440	7374	13	4
99441	7374	14	4
99442	7374	15	3
99443	7374	16	3
99444	7374	17	3
99445	7374	18	2
99446	7374	19	2
99447	7374	20	2
99448	7374	21	2
99449	7375	0	2
99450	7376	0	0
99451	7377	0	0
99452	7378	0	3
99453	7379	0	3
99454	7380	0	3
99455	7381	0	0
99456	7382	0	3
99457	7382	1	3
99458	7382	2	3
99459	7382	3	3
99460	7382	4	2
99461	7382	5	3
99462	7382	6	3
99463	7382	7	3
99464	7382	8	3
99465	7382	9	3
99466	7382	10	3
99467	7382	11	2
99468	7382	12	2
99469	7382	13	2
99470	7382	14	2
99471	7382	15	2
99472	7382	16	2
99473	7382	17	2
99474	7382	18	2
99475	7382	19	2
99476	7382	20	3
99477	7382	21	3
99478	7382	22	3
99479	7382	23	3
99480	7382	24	3
99481	7382	25	3
99482	7382	26	3
99483	7382	27	3
99484	7382	28	3
99485	7382	29	4
99486	7382	30	4
99487	7382	31	4
99488	7382	32	4
99489	7382	33	4
99490	7382	34	5
99491	7382	35	5
99492	7382	36	5
99493	7382	37	5
99494	7382	38	5
99495	7382	39	4
99496	7382	40	4
99497	7382	41	4
99498	7382	42	4
99499	7382	43	4
99500	7382	44	4
99501	7382	45	4
99502	7382	46	6
99503	7382	47	6
99504	7382	48	6
99505	7382	49	6
99506	7382	50	6
99507	7382	51	6
99508	7382	52	6
99509	7382	53	6
99510	7382	54	6
99511	7382	55	6
99512	7382	56	6
99513	7382	57	6
99514	7382	58	6
99515	7382	59	6
99516	7382	60	6
99517	7382	61	6
99518	7382	62	5
99519	7382	63	5
99520	7382	64	5
99521	7382	65	5
99522	7382	66	4
99523	7382	67	4
99524	7382	68	4
99525	7382	69	4
99526	7382	70	4
99527	7382	71	4
99528	7382	72	5
99529	7383	0	6
99530	7384	0	0
99531	7385	0	6
99532	7385	1	6
99533	7385	2	5
99534	7385	3	6
99535	7385	4	7
99536	7385	5	7
99537	7386	0	7
99538	7387	0	0
99539	7388	0	7
99540	7388	1	7
99541	7388	2	7
99542	7388	3	7
99543	7388	4	7
99544	7388	5	8
99545	7388	6	8
99546	7388	7	5
99547	7388	8	5
99548	7388	9	5
99549	7388	10	5
99550	7388	11	5
99551	7388	12	5
99552	7388	13	5
99553	7388	14	5
99554	7388	15	5
99555	7388	16	5
99556	7388	17	5
99557	7388	18	5
99558	7388	19	5
99559	7388	20	6
99560	7388	21	6
99561	7388	22	6
99562	7388	23	6
99563	7388	24	6
99564	7388	25	5
99565	7388	26	6
99566	7388	27	6
99567	7388	28	6
99568	7388	29	6
99569	7388	30	7
99570	7388	31	5
99571	7388	32	5
99572	7388	33	5
99573	7388	34	4
99574	7388	35	4
99575	7388	36	4
99576	7388	37	4
99577	7388	38	4
99578	7388	39	3
99579	7388	40	4
99580	7388	41	4
99581	7388	42	4
99582	7388	43	4
99583	7388	44	4
99584	7388	45	4
99585	7388	46	4
99586	7388	47	3
99587	7388	48	3
99588	7388	49	2
99589	7388	50	2
99590	7388	51	2
99591	7388	52	3
99592	7388	53	3
99593	7388	54	3
99594	7388	55	3
99595	7388	56	3
99596	7388	57	3
99597	7388	58	3
99598	7388	59	3
99599	7388	60	3
99600	7388	61	3
99601	7388	62	3
99602	7388	63	3
99603	7388	64	4
99604	7388	65	4
99605	7388	66	4
99606	7388	67	3
99607	7388	68	3
99608	7388	69	3
99609	7388	70	4
99610	7388	71	4
99611	7388	72	5
99612	7388	73	5
99613	7388	74	5
99614	7388	75	5
99615	7388	76	5
99616	7388	77	5
99617	7388	78	5
99618	7388	79	5
99619	7388	80	5
99620	7388	81	5
99621	7388	82	4
99622	7388	83	4
99623	7389	0	5
99624	7390	0	0
99625	7391	0	6
99626	7391	1	6
99627	7391	2	6
99628	7391	3	6
99629	7391	4	6
99630	7391	5	6
99631	7391	6	6
99632	7391	7	5
99633	7391	8	5
99634	7391	9	5
99635	7391	10	5
99636	7391	11	5
99637	7391	12	5
99638	7391	13	5
99639	7391	14	5
99640	7391	15	5
99641	7391	16	5
99642	7391	17	5
99643	7391	18	5
99644	7391	19	4
99645	7391	20	4
99646	7391	21	4
99647	7391	22	0
99648	7391	23	4
99649	7391	24	4
99650	7391	25	4
99651	7391	26	4
99652	7391	27	2
99653	7391	28	2
99654	7391	29	2
99655	7391	30	2
99656	7391	31	2
99657	7391	32	2
99658	7391	33	2
99659	7391	34	3
99660	7391	35	3
99661	7391	36	3
99662	7391	37	3
99663	7391	38	3
99664	7391	39	3
99665	7391	40	4
99666	7391	41	1
99667	7391	42	2
99668	7391	43	2
99669	7391	44	2
99670	7391	45	2
99671	7391	46	2
99672	7391	47	2
99673	7391	48	1
99674	7391	49	2
99675	7392	0	2
99676	7392	1	2
99677	7392	2	3
99678	7392	3	3
99679	7392	4	3
99680	7392	5	3
99681	7392	6	3
99682	7392	7	4
99683	7392	8	3
99684	7392	9	5
99685	7392	10	5
99686	7392	11	5
99687	7392	12	5
99688	7392	13	5
99689	7392	14	5
99690	7392	15	5
99691	7392	16	5
99692	7392	17	5
99693	7392	18	5
99694	7392	19	5
99695	7392	20	5
99696	7392	21	5
99697	7392	22	5
99698	7392	23	5
99699	7392	24	5
99700	7392	25	5
99701	7392	26	5
99702	7392	27	5
99703	7392	28	5
99704	7392	29	6
99705	7392	30	6
99706	7392	31	5
99707	7392	32	5
99708	7392	33	5
99709	7392	34	5
99710	7392	35	5
99711	7392	36	5
99712	7392	37	5
99713	7392	38	5
99714	7392	39	5
99715	7392	40	5
99716	7392	41	5
99717	7392	42	5
99718	7392	43	4
99719	7392	44	4
99720	7392	45	4
99721	7392	46	4
99722	7392	47	3
99723	7392	48	4
99724	7392	49	3
99725	7392	50	2
99726	7392	51	2
99727	7392	52	2
99728	7392	53	2
99729	7392	54	2
99730	7392	55	2
99731	7392	56	2
99732	7392	57	2
99733	7392	58	2
99734	7392	59	2
99735	7392	60	2
99736	7392	61	2
99737	7392	62	2
99738	7392	63	3
99739	7392	64	3
99740	7392	65	3
99741	7392	66	3
99742	7392	67	2
99743	7392	68	3
99744	7392	69	3
99745	7392	70	4
99746	7392	71	3
99747	7392	72	3
99748	7392	73	4
99749	7392	74	5
99750	7392	75	5
99751	7392	76	5
99752	7392	77	6
99753	7392	78	6
99754	7392	79	7
99755	7392	80	7
99756	7392	81	7
99757	7392	82	7
99758	7392	83	7
99759	7392	84	7
99760	7392	85	7
99761	7392	86	7
99762	7392	87	7
99763	7392	88	7
99764	7392	89	7
99765	7392	90	7
99766	7392	91	8
99767	7392	92	8
99768	7392	93	8
99769	7392	94	8
99770	7392	95	8
99771	7392	96	8
99772	7392	97	9
99773	7392	98	9
99774	7392	99	9
99775	7392	100	9
99776	7392	101	9
99777	7392	102	9
99778	7392	103	9
99779	7392	104	31
99780	7392	105	31
99781	7392	106	8
99782	7392	107	31
99783	7392	108	7
99784	7392	109	7
99785	7392	110	6
99786	7392	111	7
99787	7392	112	6
99788	7392	113	6
99789	7392	114	6
99790	7392	115	6
99791	7392	116	5
99792	7392	117	5
99793	7392	118	5
99794	7392	119	4
99795	7392	120	4
99796	7392	121	3
99797	7392	122	3
99798	7393	0	0
99799	7393	1	0
99800	7393	2	0
99801	7393	3	0
99802	7393	4	0
99803	7393	5	0
99804	7393	6	0
99805	7393	7	0
99806	7393	8	0
99807	7393	9	0
99808	7393	10	0
99809	7393	11	0
99810	7393	12	0
99811	7393	13	0
99812	7393	14	0
99813	7393	15	0
99814	7393	16	0
99815	7393	17	0
99816	7393	18	0
99817	7393	19	0
99818	7393	20	0
99819	7393	21	0
99820	7393	22	0
99821	7393	23	0
99822	7393	24	0
99823	7393	25	0
99824	7393	26	0
99825	7393	27	0
99826	7393	28	0
99827	7393	29	0
99828	7393	30	0
99829	7393	31	0
99830	7393	32	0
99831	7393	33	0
99832	7393	34	0
99833	7393	35	0
99834	7393	36	0
99835	7393	37	0
99836	7393	38	0
99837	7393	39	0
99838	7393	40	0
99839	7393	41	0
99840	7393	42	0
99841	7393	43	0
99842	7393	44	0
99843	7393	45	0
99844	7393	46	0
99845	7393	47	0
99846	7393	48	0
99847	7393	49	0
99848	7393	50	0
99849	7393	51	0
99850	7393	52	0
99851	7393	53	0
99852	7393	54	0
99853	7393	55	0
99854	7393	56	0
99855	7393	57	0
99856	7393	58	0
99857	7393	59	0
99858	7393	60	0
99859	7393	61	0
99860	7393	62	0
99861	7393	63	0
99862	7393	64	0
99863	7393	65	0
99864	7393	66	0
99865	7393	67	0
99866	7393	68	0
99867	7393	69	0
99868	7393	70	0
99869	7393	71	0
99870	7393	72	0
99871	7393	73	0
99872	7393	74	0
99873	7393	75	0
99874	7393	76	0
99875	7393	77	0
99876	7393	78	0
99877	7393	79	0
99878	7393	80	0
99879	7393	81	0
99880	7393	82	0
99881	7393	83	0
99882	7393	84	0
99883	7393	85	0
99884	7393	86	0
99885	7393	87	0
99886	7393	88	0
99887	7393	89	0
99888	7393	90	0
99889	7393	91	0
99890	7393	92	0
99891	7393	93	0
99892	7393	94	0
99893	7393	95	0
99894	7393	96	0
99895	7393	97	0
99896	7393	98	0
99897	7393	99	0
99898	7393	100	0
99899	7393	101	0
99900	7393	102	0
99901	7393	103	0
99902	7393	104	0
99903	7393	105	0
99904	7393	106	0
99905	7393	107	0
99906	7393	108	0
99907	7393	109	0
99908	7393	110	0
99909	7393	111	0
99910	7393	112	0
99911	7393	113	0
99912	7393	114	0
99913	7393	115	0
99914	7393	116	0
99915	7393	117	0
99916	7393	118	0
99917	7393	119	0
99918	7394	0	3
99919	7394	1	3
99920	7394	2	3
99921	7394	3	3
99922	7394	4	3
99923	7394	5	3
99924	7394	6	3
99925	7394	7	3
99926	7394	8	14
99927	7394	9	7
99928	7394	10	9
99929	7394	11	10
99930	7394	12	11
99931	7394	13	12
99932	7394	14	12
99933	7394	15	3
99934	7394	16	3
99935	7394	17	3
99936	7394	18	3
99937	7395	0	3
99938	7396	0	0
99939	7397	0	3
99940	7397	1	3
99941	7397	2	3
99942	7397	3	3
99943	7398	0	3
99944	7399	0	0
99945	7400	0	3
99946	7400	1	4
99947	7400	2	4
99948	7400	3	4
99949	7400	4	4
99950	7400	5	4
99951	7400	6	4
99952	7400	7	4
99953	7400	8	3
99954	7400	9	3
99955	7400	10	3
99956	7400	11	3
99957	7400	12	4
99958	7400	13	4
99959	7400	14	4
99960	7400	15	4
99961	7400	16	4
99962	7400	17	4
99963	7400	18	4
99964	7400	19	4
99965	7400	20	4
99966	7400	21	4
99967	7400	22	4
99968	7400	23	4
99969	7400	24	4
99970	7400	25	4
99971	7400	26	4
99972	7400	27	4
99973	7400	28	3
99974	7401	0	3
99975	7402	0	0
99976	7403	0	2
99977	7403	1	2
99978	7403	2	2
99979	7403	3	2
99980	7403	4	2
99981	7403	5	2
99982	7403	6	2
99983	7403	7	2
99984	7403	8	2
99985	7403	9	2
99986	7403	10	2
99987	7403	11	2
99988	7403	12	1
99989	7403	13	1
99990	7404	0	0
99991	7404	1	0
99992	7404	2	0
99993	7404	3	0
99994	7404	4	0
99995	7404	5	0
99996	7404	6	0
99997	7404	7	0
99998	7404	8	0
